Postal_Code,Name,Median_Household_Income
US,United States,"53,657"
AL,Alabama,"42,917"
AL,Autauga County,"54,366"
AL,Baldwin County,"49,626"
AL,Barbour County,"34,971"
AL,Bibb County,"39,546"
AL,Blount County,"45,567"
AL,Bullock County,"26,580"
AL,Butler County,"32,512"
AL,Calhoun County,"41,123"
AL,Chambers County,"34,116"
AL,Cherokee County,"38,013"
AL,Chilton County,"41,450"
AL,Choctaw County,"35,049"
AL,Clarke County,"36,620"
AL,Clay County,"35,940"
AL,Cleburne County,"40,418"
AL,Coffee County,"46,931"
AL,Colbert County,"43,057"
AL,Conecuh County,"29,101"
AL,Coosa County,"34,679"
AL,Covington County,"36,149"
AL,Crenshaw County,"34,445"
AL,Cullman County,"39,922"
AL,Dale County,"41,940"
AL,Dallas County,"26,602"
AL,DeKalb County,"36,241"
AL,Elmore County,"54,298"
AL,Escambia County,"37,077"
AL,Etowah County,"39,904"
AL,Fayette County,"35,664"
AL,Franklin County,"33,881"
AL,Geneva County,"34,425"
AL,Greene County,"26,504"
AL,Hale County,"33,315"
AL,Henry County,"39,930"
AL,Houston County,"40,124"
AL,Jackson County,"36,923"
AL,Jefferson County,"44,852"
AL,Lamar County,"34,553"
AL,Lauderdale County,"41,324"
AL,Lawrence County,"41,574"
AL,Lee County,"41,256"
AL,Limestone County,"51,175"
AL,Lowndes County,"30,675"
AL,Macon County,"28,518"
AL,Madison County,"58,833"
AL,Marengo County,"32,977"
AL,Marion County,"37,707"
AL,Marshall County,"36,536"
AL,Mobile County,"42,943"
AL,Monroe County,"34,733"
AL,Montgomery County,"43,054"
AL,Morgan County,"45,082"
AL,Perry County,"27,403"
AL,Pickens County,"31,933"
AL,Pike County,"31,844"
AL,Randolph County,"36,939"
AL,Russell County,"35,585"
AL,St. Clair County,"50,571"
AL,Shelby County,"69,432"
AL,Sumter County,"25,413"
AL,Talladega County,"39,999"
AL,Tallapoosa County,"36,779"
AL,Tuscaloosa County,"46,892"
AL,Walker County,"37,245"
AL,Washington County,"41,321"
AL,Wilcox County,"24,035"
AL,Winston County,"35,528"
AK,Alaska,"70,898"
AK,Aleutians East Borough,"55,462"
AK,Aleutians West Census Area,"68,387"
AK,Anchorage Borough,"75,200"
AK,Bethel Census Area,"45,808"
AK,Bristol Bay Borough,"75,364"
AK,Denali Borough,"69,692"
AK,Dillingham Census Area,"51,082"
AK,Fairbanks North Star Borough,"67,801"
AK,Haines Borough,"67,260"
AK,Hoonah-Angoon Census Area,"51,687"
AK,Juneau Borough,"80,835"
AK,Kenai Peninsula Borough,"62,532"
AK,Ketchikan Gateway Borough,"57,776"
AK,Kodiak Island Borough,"67,972"
AK,Lake and Peninsula Borough,"45,570"
AK,Matanuska-Susitna Borough,"73,981"
AK,Nome Census Area,"47,160"
AK,North Slope Borough,"75,682"
AK,Northwest Arctic Borough,"65,192"
AK,Petersburg Borough,"56,655"
AK,Prince of Wales-Hyder Census Area,"43,245"
AK,Sitka Borough,"65,765"
AK,Skagway Municipality,"69,170"
AK,Southeast Fairbanks Census Area,"59,641"
AK,Valdez-Cordova Census Area,"73,998"
AK,Wade Hampton Census Area,"30,877"
AK,Wrangell City and Borough,"52,201"
AK,Yakutat Borough,"52,595"
AK,Yukon-Koyukuk Census Area,"36,708"
AZ,Arizona,"50,036"
AZ,Apache County,"32,366"
AZ,Cochise County,"45,025"
AZ,Coconino County,"48,653"
AZ,Gila County,"37,677"
AZ,Graham County,"46,046"
AZ,Greenlee County,"59,416"
AZ,La Paz County,"32,533"
AZ,Maricopa County,"53,929"
AZ,Mohave County,"37,704"
AZ,Navajo County,"35,457"
AZ,Pima County,"45,871"
AZ,Pinal County,"49,876"
AZ,Santa Cruz County,"37,465"
AZ,Yavapai County,"44,145"
AZ,Yuma County,"39,700"
AR,Arkansas,"41,335"
AR,Arkansas County,"36,409"
AR,Ashley County,"36,176"
AR,Baxter County,"37,873"
AR,Benton County,"57,408"
AR,Boone County,"39,779"
AR,Bradley County,"32,734"
AR,Calhoun County,"39,493"
AR,Carroll County,"36,964"
AR,Chicot County,"29,541"
AR,Clark County,"38,504"
AR,Clay County,"33,826"
AR,Cleburne County,"40,555"
AR,Cleveland County,"43,201"
AR,Columbia County,"37,495"
AR,Conway County,"42,348"
AR,Craighead County,"42,851"
AR,Crawford County,"43,466"
AR,Crittenden County,"35,455"
AR,Cross County,"38,597"
AR,Dallas County,"34,018"
AR,Desha County,"33,028"
AR,Drew County,"36,801"
AR,Faulkner County,"51,436"
AR,Franklin County,"40,404"
AR,Fulton County,"33,347"
AR,Garland County,"40,621"
AR,Grant County,"46,067"
AR,Greene County,"42,572"
AR,Hempstead County,"33,136"
AR,Hot Spring County,"37,831"
AR,Howard County,"37,336"
AR,Independence County,"41,085"
AR,Izard County,"32,744"
AR,Jackson County,"32,427"
AR,Jefferson County,"35,927"
AR,Johnson County,"34,923"
AR,Lafayette County,"32,225"
